statefips,year,month,ds_o3_pred
1,2011,1,34.03745454581943
1,2011,2,39.16783188525708
1,2011,3,41.40632761186211
1,2011,4,43.477088686994556
1,2011,5,44.9412902112363
1,2011,6,49.03858947122652
1,2011,7,43.15204744456523
1,2011,8,53.260135970879894
1,2011,9,42.07632875450248
1,2011,10,41.96386808336034
1,2011,11,32.968027727670574
1,2011,12,27.210118386289935
1,2012,1,31.957494176019743
1,2012,2,35.34322242927464
1,2012,3,42.18492237990874
1,2012,4,46.42541877978769
1,2012,5,49.57944246218949
1,2012,6,50.770078429935374
1,2012,7,40.623885630792714
1,2012,8,42.35371647594688
1,2012,9,38.973331033586824
1,2012,10,38.66907073854312
1,2012,11,37.03205318853971
1,2012,12,32.07861419991606
1,2013,1,31.074299024747326
1,2013,2,38.61092336628849
1,2013,3,46.83400553970445
1,2013,4,44.122704938340746
1,2013,5,42.14304684980907
1,2013,6,39.6224602897924
1,2013,7,33.86238510662565
1,2013,8,35.797995332587334
1,2013,9,42.228059617348016
1,2013,10,34.760658910169695
1,2013,11,30.96610836746634
1,2013,12,27.715800899483362
1,2014,1,32.075569373865854
1,2014,2,33.40233752945858
1,2014,3,42.03415855102753
1,2014,4,45.08324264464448
1,2014,5,45.16932368776111
1,2014,6,36.32799240940957
1,2014,7,41.04627109511902
1,2014,8,41.210712389743044
1,2014,9,35.66901596592511
1,2014,10,38.61052157004707
1,2014,11,34.48678491586707
1,2014,12,26.00033375691809
4,2011,1,34.767624497383025
4,2011,2,41.57132484616921
4,2011,3,49.086594432699364
4,2011,4,53.52760835436407
4,2011,5,57.46152895057496
4,2011,6,58.298284173603015
4,2011,7,52.94152901025873
4,2011,8,53.338719988483945
4,2011,9,50.20686972263172
4,2011,10,44.16804472044721
4,2011,11,35.88373981169571
4,2011,12,30.765763325360833
4,2012,1,34.33964895692995
4,2012,2,42.46652999866096
4,2012,3,49.04327247338886
4,2012,4,56.672380082315314
4,2012,5,62.56859470218014
4,2012,6,53.713225478497044
4,2012,7,53.097248577410475
4,2012,8,52.74082297022144
4,2012,9,48.176090292943115
4,2012,10,43.5777491346938
4,2012,11,38.77896244904483
4,2012,12,37.03878028335815
4,2013,1,36.08617250473543
4,2013,2,42.74041862550095
4,2013,3,48.97843037758198
4,2013,4,53.24107293418046
4,2013,5,58.82550909817764
